=== KALIBRASYON RAPORU (detayli) ===
Toplam isim: 632
Ortalama mutlak fark: 110.88
Medyan fark: 3
Min: 0  Max: 1388
+-10:  413/632 (65.3%)
+-50:  446/632 (70.6%)
+-100: 509/632 (80.5%)
+-200: 518/632 (82.0%)

=== EN KOTU 10 (en yuksek fark) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
hamza | حمزة | 56 | هامزا | 54 | 2
hanım | خانم | 691 | هانم | 96 | 595
hanife | حنيفة | 153 | هانيفا | 147 | 6
harun | هارون | 262 | هارون | 262 | 0
hasan | حسن | 118 | هاسان | 117 | 1
hatice | خديجة | 627 | هاتيجا | 420 | 207
havva | حواء | 16 | هاوا | 13 | 3
hayriye | خيرية | 825 | هايريا | 227 | 598
hayrunisa | خير النساء | 953 | هايرونيسا | 343 | 610
hediye | هدية | 24 | هاديا | 21 | 3
hızır | خضر | 1600 | هزر | 212 | 1388
hicran | هجران | 268 | هيجران | 269 | 1
hilal | هلال | 66 | هيلال | 76 | 10
hilmi | حلمي | 88 | هيلمي | 95 | 7
hudai | هدائي | 30 | هوداي | 26 | 4
hulusi | خلوصي | 736 | هولوسي | 117 | 619
humeyra | حميراء | 260 | هومايرا | 263 | 3
hülya | هوليا | 52 | هوليا | 52 | 0
hürrem | خرم | 840 | هورام | 252 | 588
hüseyin | حسين | 128 | هوساين | 132 | 4
ibrahim | إبراهيم | 259 | يبراهيم | 268 | 9
iclal | يجلال | 74 | يجلال | 74 | 0
idil | يديل | 54 | يديل | 54 | 0
idris | إدريس | 275 | يدريس | 284 | 9
ihsan | إحسان | 120 | يهسان | 126 | 6
ilayda | يلايدا | 56 | يلايدا | 56 | 0
ilgin | يلكين | 120 | يلكين | 120 | 0
ilhan | إلخان | 692 | يلهان | 96 | 596
ilkay | يلكاي | 71 | يلكاي | 71 | 0
ilke | يلكا | 61 | يلكا | 61 | 0
ilker | إلكر | 251 | يلكار | 261 | 10
ilkim | يلكيم | 110 | يلكيم | 110 | 0
ilkin | يلكين | 120 | يلكين | 120 | 0
ilknur | إيلك نور | 317 | يلكنور | 316 | 1
ilyas | إلياس | 102 | يلياس | 111 | 9
imam | إمام | 82 | يمام | 91 | 9
imran | عمران | 361 | يمران | 301 | 60
inci | ينجي | 73 | ينجي | 73 | 0
ipek | إيبك | 113 | يباك | 33 | 80
irem | إرم | 241 | يرام | 251 | 10
irmak | يرماك | 271 | يرماك | 271 | 0
isa | عيسى | 150 | يسا | 71 | 79
ishak | إسحاق | 170 | يسهاك | 96 | 74
ismail | إسماعيل | 211 | يسمايل | 151 | 60
ismet | عصمت | 600 | يسمات | 511 | 89
işıl | يشل | 340 | يشل | 340 | 0
işın | يشن | 360 | يشن | 360 | 0
kaan | قاآن | 152 | كان | 71 | 81
kader | قدر | 304 | كادار | 226 | 78
kadir | قادر | 305 | كادير | 235 | 70
kağan | قاغان | 1132 | كاغان | 1072 | 60
kamil | كامل | 91 | كاميل | 101 | 10
kasım | قاسم | 201 | كاسم | 121 | 80
kaya | قايا | 112 | كايا | 32 | 80
kayhan | قايخان | 761 | كايهان | 87 | 674
kazım | كاظم | 951 | كازم | 68 | 883
kemal | كمال | 91 | كامال | 92 | 1
kenan | كنعان | 191 | كانان | 122 | 69
kerem | كرم | 260 | كارام | 262 | 2
kerim | كريم | 270 | كاريم | 271 | 1
kerime | كريمة | 275 | كاريما | 272 | 3
kevser | كوثر | 726 | كاوسار | 288 | 438
kıvılcım | كولجم | 99 | كولجم | 99 | 0
korkut | قورقوت | 812 | كوركوت | 652 | 160
kuzey | كوزاي | 44 | كوزاي | 44 | 0
kübra | كبرى | 232 | كوبرا | 229 | 3
lale | لاله | 36 | لالا | 62 | 26
lamia | لامعة | 146 | لاميا | 82 | 64
lara | لارا | 232 | لارا | 232 | 0
latife | لطيفة | 134 | لاتيفا | 522 | 388
levent | لوند | 96 | لاوانت | 488 | 392
leyla | ليلى | 71 | لايلا | 72 | 1
lokman | لقمان | 221 | لوكمان | 147 | 74
lütfi | لطفي | 129 | لوتفي | 526 | 397
mahinur | ماه نور | 302 | ماهينور | 312 | 10
mahir | ماهر | 246 | ماهير | 256 | 10
mahmut | محمود | 92 | ماهموت | 492 | 400
mansur | منصور | 386 | مانسور | 357 | 29
masum | معصوم | 246 | ماسوم | 147 | 99
mavi | ماوي | 57 | ماوي | 57 | 0
mecit | مجيد | 57 | ماجيت | 454 | 397
mehdi | مهدي | 59 | ماهدي | 60 | 1
mehlika | مه ليقا | 186 | ماهليكا | 107 | 79
mehmet | محمد | 92 | ماهمات | 487 | 395
mehmet ali | محمد علي | 202 | ماهماتالي | 528 | 326
mehtap | ماهتاب | 449 | ماهتاب | 449 | 0
melek | ملك | 90 | مالاك | 92 | 2
melike | مليكة | 95 | ماليكا | 102 | 7
melis | ماليس | 141 | ماليس | 141 | 0
melisa | ماليسا | 142 | ماليسا | 142 | 0
meltem | مالتام | 512 | مالتام | 512 | 0
mercan | مارجان | 295 | مارجان | 295 | 0
mert | مرت | 640 | مارت | 641 | 1
merve | مروة | 251 | ماروا | 248 | 3
meryem | مريم | 290 | ماريام | 292 | 2
mete | متى | 450 | ماتا | 442 | 8
mete han | ماتاهان | 498 | ماتاهان | 498 | 0
metin | متين | 500 | ماتين | 501 | 1
mihriban | مهربان | 298 | ميهريبان | 318 | 20
mira | ميرا | 251 | ميرا | 251 | 0
miraç | معراج | 314 | ميراج | 254 | 60
miray | ميراي | 261 | ميراي | 261 | 0
mithat | ميتهات | 856 | ميتهات | 856 | 0
mualla | معلى | 150 | موالا | 78 | 72
muammer | معمر | 350 | موامار | 288 | 62
muazzez | معززة | 129 | موازاز | 62 | 67
muhammed | محمد | 92 | موهاماد | 97 | 5
muharrem | محرم | 288 | موهارام | 293 | 5
muhittin | محيي الدين | 163 | موهيتين | 521 | 358
muhsin | محسن | 158 | موهسين | 171 | 13
muhyiddin | محيي الدين | 163 | موهيدين | 125 | 38
murat | مراد | 245 | مورات | 647 | 402
murat ali | مراد علي | 355 | موراتالي | 688 | 333
musa | موسى | 116 | موسا | 107 | 9
mustafa | مصطفى | 211 | موستافا | 588 | 377
mübeccel | مبجلة | 80 | موباجال | 83 | 3
mücahit | مجاهد | 53 | موجاهيت | 465 | 412
müjdat | مژدات | 445 | موزدات | 458 | 13
mümin | مؤمن | 136 | مومين | 146 | 10
münevver | منورة | 301 | موناوار | 304 | 3
münir | منير | 300 | مونير | 306 | 6
müzeyyen | مزينة | 112 | موزايان | 115 | 3
naciye | ناجية | 73 | ناجيا | 65 | 8
nadide | نديدة | 73 | ناديدا | 70 | 3
nail | نائل | 91 | نايل | 91 | 0
naim | نعيم | 170 | نايم | 101 | 69
nasreddin | نصر الدين | 444 | ناسرادين | 376 | 68
naz | ناز | 58 | ناز | 58 | 0
nazan | نازان | 109 | نازان | 109 | 0
nazım | ناظم | 992 | نازم | 98 | 894
nazif | نظيف | 1040 | نازيف | 148 | 892
nazife | نظيفة | 1045 | نازيفا | 149 | 896
nazlı | نازلي | 98 | نازل | 88 | 10
nazmiye | نظمية | 1005 | نازميا | 109 | 896
nebi | نبي | 62 | نابي | 63 | 1
necati | نجاتي | 463 | ناجاتي | 465 | 2
necdet | نجدت | 457 | ناجدات | 459 | 2
necla | نجلاء | 84 | ناجلا | 85 | 1
necmettin | نجم الدين | 188 | ناجماتين | 555 | 367
nedim | نديم | 104 | ناديم | 105 | 1
nehir | ناهير | 266 | ناهير | 266 | 0
nejat | نجاة | 59 | نازات | 459 | 400
nesibe | نسيبة | 127 | ناسيبا | 124 | 3
nesrin | نسرين | 320 | ناسرين | 371 | 51
nevin | نوين | 116 | ناوين | 117 | 1
nida | نيدا | 65 | نيدا | 65 | 0
nil | نيل | 90 | نيل | 90 | 0
nilay | نيلاي | 101 | نيلاي | 101 | 0
nilgün | نيلكون | 196 | نيلكون | 166 | 30
nimet | نعمة | 165 | نيمات | 501 | 336
nisa | نيسا | 121 | نيسا | 121 | 0
niyazi | نيازي | 78 | نيازي | 78 | 0
nizamettin | نظام الدين | 1086 | نيزاماتين | 569 | 517
nuh | نوح | 64 | نوه | 61 | 3
numan | نعمان | 211 | نومان | 147 | 64
nur | نور | 256 | نور | 256 | 0
nuray | نور آي | 267 | نوراي | 267 | 0
nurettin | نور الدين | 351 | نوراتين | 717 | 366
nurgül | نور گل | 286 | نوركول | 312 | 26
nurhan | نور خان | 907 | نورهان | 312 | 595
nuri | نوري | 266 | نوري | 266 | 0
nuriye | نورية | 271 | نوريا | 267 | 4
nurseli | نورسلي | 356 | نورسالي | 357 | 1
nurten | نور تن | 706 | نورتان | 707 | 1
nurullah | نور الله | 322 | نورولاه | 298 | 24
nusret | نصرت | 740 | نوسرات | 717 | 23
ogün | أوكون | 83 | وكون | 82 | 1
oğuz | أوغوز | 1024 | وغوز | 1019 | 5
oğuzhan | وغوزهان | 1075 | وغوزهان | 1075 | 0
okan | أوقان | 158 | وكان | 77 | 81
onat | أوناط | 65 | ونات | 457 | 392
onur | أونور | 263 | ونور | 262 | 1
onur can | ونورجان | 316 | ونورجان | 316 | 0
orhan | أورخان | 858 | ورهان | 262 | 596
orkun | وركون | 282 | وركون | 282 | 0
osman | عثمان | 661 | وسمان | 157 | 504
osman ali | وسمانالي | 198 | وسمانالي | 198 | 0
ozan | أوزان | 65 | وزان | 64 | 1
ömer | عمر | 310 | ومار | 247 | 63
öykü | ويكو | 42 | ويكو | 42 | 0
özge | وزكا | 34 | وزكا | 34 | 0
özlem | أوزلم | 78 | وزلام | 84 | 6
pelin | بلين | 142 | بالين | 93 | 49
pelinsu | بالينسو | 159 | بالينسو | 159 | 0
pervin | باروين | 269 | باروين | 269 | 0
petek | باتاك | 424 | باتاك | 424 | 0
pınar | بنار | 253 | بنار | 253 | 0
pırıl | برل | 232 | برل | 232 | 0
pırlanta | برلانتا | 684 | برلانتا | 684 | 0
polat | بولات | 439 | بولات | 439 | 0
poyraz | بويراز | 226 | بويراز | 226 | 0
rabia | رابعة | 278 | رابيا | 214 | 64
rahime | رحيمة | 263 | راهيما | 257 | 6
rahmi | رحمي | 258 | راهمي | 256 | 2
raif | رائف | 291 | رايف | 291 | 0
ramadan | رمضان | 1091 | رامادان | 297 | 794
ramazan | رمضان | 1091 | رامازان | 300 | 791
rana | رعنا | 321 | رانا | 252 | 69
raşit | راشد | 505 | راشيت | 911 | 406
rauf | رؤوف | 292 | راوف | 287 | 5
ravza | روضة | 1011 | راوزا | 215 | 796
recep | رجب | 205 | راجاب | 207 | 2
refik | رفيق | 390 | رافيك | 311 | 79
remzi | رمزي | 257 | رامزي | 258 | 1
reşit | رشيد | 514 | راشيت | 911 | 397
reyhan | ريحان | 269 | رايهان | 267 | 2
rıza | رضا | 1011 | رزا | 208 | 803
ridvan | رضوان | 957 | ريدوان | 271 | 686
rifat | رفعت | 750 | ريفات | 691 | 59
ruhi | روحي | 224 | روهي | 221 | 3
rukiye | رقية | 315 | روكيا | 237 | 78
rüstem | رستم | 700 | روستام | 707 | 7
rüştü | رشدي | 514 | روشتو | 912 | 398
rüveyda | رويدا | 221 | روايدا | 222 | 1
rüya | رويا | 217 | رويا | 217 | 0
rüzgar | روزكار | 434 | روزكار | 434 | 0
saadettin | سعد الدين | 198 | ساداتين | 526 | 328
sabri | صبري | 302 | سابري | 273 | 29
saffet | صفوت | 576 | سافات | 542 | 34
safiye | صفية | 185 | سافيا | 152 | 33
sait | سعيد | 144 | سايت | 471 | 327
salih | صالح | 129 | ساليه | 106 | 23
saliha | صالحة | 134 | ساليها | 107 | 27
salim | سالم | 131 | ساليم | 141 | 10
sami | سامي | 111 | سامي | 111 | 0
saniye | ثانية | 566 | سانيا | 122 | 444
sare | ساره | 266 | سارا | 262 | 4
sarp | سارب | 263 | سارب | 263 | 0
seda | سادا | 66 | سادا | 66 | 0
sedat | سداد | 69 | سادات | 466 | 397
sedef | ساداف | 146 | ساداف | 146 | 0
sefa | صفا | 92 | سافا | 142 | 50
selçuk | سالجوك | 120 | سالجوك | 120 | 0
selim | سليم | 140 | ساليم | 141 | 1
selin | سلين | 150 | سالين | 151 | 1
selma | سلمى | 131 | سالما | 132 | 1
sema | سما | 101 | ساما | 102 | 1
serdar | سردار | 466 | ساردار | 466 | 0
serkan | سركان | 341 | ساركان | 332 | 9
sevcan | ساوجان | 121 | ساوجان | 121 | 0
sevda | سودا | 71 | ساودا | 72 | 1
sevde | سودة | 75 | ساودا | 72 | 3
sevgi | سوكي | 96 | ساوكي | 97 | 1
sevil | ساويل | 107 | ساويل | 107 | 0
sevim | سويم | 116 | ساويم | 117 | 1
sevtap | ساوتاب | 470 | ساوتاب | 470 | 0
seyfettin | سيف الدين | 245 | سايفاتين | 612 | 367
seyit | سيد | 74 | سايت | 471 | 397
sezer | سازار | 269 | سازار | 269 | 0
sıddık | صديق | 204 | سدك | 84 | 120
sıdıka | صديقة | 209 | سدكا | 85 | 124
sıla | سلا | 91 | سلا | 91 | 0
sıtkı | صدقي | 204 | ستك | 480 | 276
simay | سيماي | 121 | سيماي | 121 | 0
simge | سيمكا | 131 | سيمكا | 131 | 0
sinan | سنان | 171 | سينان | 171 | 0
sinem | سينام | 161 | سينام | 161 | 0
su | سو | 66 | سو | 66 | 0
suat | سؤاد | 71 | سوات | 467 | 396
subhi | صبحي | 110 | سوبهي | 83 | 27
sude | سودا | 71 | سودا | 71 | 0
suheyla | سهيلا | 106 | سوهايلا | 113 | 7
sungur | سونغور | 1322 | سونكور | 342 | 980
suzan | سوزان | 124 | سوزان | 124 | 0
süleyman | سليمان | 200 | سولايمان | 198 | 2
sümeyra | سميراء | 312 | سومايرا | 318 | 6
sümeyye | سمية | 125 | سومايا | 118 | 7
şaban | شعبان | 423 | شابان | 354 | 69
şahin | شاهين | 366 | شاهين | 366 | 0
şebnem | شابنام | 394 | شابنام | 394 | 0
şefik | شفيق | 490 | شافيك | 411 | 79
şefika | شفيقة | 495 | شافيكا | 412 | 83
şefkat | شفقت | 880 | شافكات | 802 | 78
şemsettin | شمس الدين | 494 | شامساتين | 862 | 368
şeref | شرف | 580 | شاراف | 582 | 2
şevket | شوكت | 726 | شاوكات | 728 | 2
şevval | شوال | 337 | شاوال | 338 | 1
şeyma | شيماء | 352 | شايما | 352 | 0
şinasi | شناسي | 421 | شيناسي | 431 | 10
şirin | شيرين | 580 | شيرين | 570 | 10
şuayp | شعيب | 382 | شوايب | 319 | 63
şule | شعلة | 405 | شولا | 337 | 68
şükran | شكران | 571 | شوكران | 577 | 6
şükrü | شكري | 530 | شوكرو | 532 | 2
taha | تاها | 407 | تاها | 407 | 0
tahir | طاهر | 215 | تاهير | 616 | 401
talat | طلعت | 509 | تالات | 832 | 323
talha | طلحة | 44 | تالها | 437 | 393
talip | طالب | 42 | تاليب | 443 | 401
tara | تارا | 602 | تارا | 602 | 0
tarık | طارق | 310 | تارك | 621 | 311
tarkan | تاركان | 672 | تاركان | 672 | 0
tayfun | طيفون | 215 | تايفون | 547 | 332
tayyar | تايار | 612 | تايار | 612 | 0
tayyip | طيب | 22 | تايب | 413 | 391
tekin | تاكين | 481 | تاكين | 481 | 0
tevfik | توفيق | 596 | تاوفيك | 517 | 79
tolga | تولكا | 458 | تولكا | 457 | 1
tolgahan | تولكاهان | 513 | تولكاهان | 513 | 0
toprak | توبراك | 629 | توبراك | 629 | 0
tuana | توانا | 458 | توانا | 458 | 0
tuba | توبا | 409 | توبا | 409 | 0
tuğba | توغبا | 1409 | توغبا | 1409 | 0
tuğçe | طوغجة | 1023 | توغجا | 1410 | 387
tuğra | توغرا | 1607 | توغرا | 1607 | 0
tuna | تونا | 457 | تونا | 457 | 0
turan | طوران | 266 | توران | 657 | 391
turgut | طورغوت | 1621 | توركوت | 1032 | 589
tülay | تولاي | 447 | تولاي | 447 | 0
tülin | تولين | 496 | تولين | 496 | 0
türkan | توركان | 677 | توركان | 677 | 0
ubeyd | عبيد | 86 | وبايد | 23 | 63
uğur | أوغور | 1213 | وغور | 1212 | 1
ulaş | ولاش | 337 | ولاش | 337 | 0
umut | أوموت | 453 | وموت | 452 | 1
uras | وراس | 267 | وراس | 267 | 0
utku | أوتكو | 433 | وتكو | 432 | 1
ümmü | أم | 41 | ومو | 52 | 11
ümmühan | أم خان | 692 | وموهان | 108 | 584
ümran | عمران | 361 | ومران | 297 | 64
vahdet | وحدت | 418 | واهدات | 417 | 1
vahdettin | وحيد الدين | 152 | واهداتين | 477 | 325
vahit | واحد | 19 | واهيت | 422 | 403
vasfi | وصفي | 186 | واسفي | 157 | 29
vasıf | وصاف | 177 | واسف | 147 | 30
vedat | ودات | 415 | وادات | 412 | 3
vehbi | وهبي | 23 | واهبي | 24 | 1
veli | ولي | 46 | والي | 47 | 1
vesile | وسيلة | 111 | واسيلا | 108 | 3
veysel | ويسل | 106 | وايسال | 108 | 2
veysi | ويسي | 86 | وايسي | 87 | 1
volkan | ولكان | 107 | ولكان | 107 | 0
yağız | ياغز | 1018 | ياغز | 1018 | 0
yağmur | ياغمور | 1257 | ياغمور | 1257 | 0
yahşi | ياخشي | 921 | ياهشي | 326 | 595
yahya | يحيى | 34 | ياهيا | 27 | 7
yakup | يعقوب | 188 | ياكوب | 39 | 149
yaman | يامان | 102 | يامان | 102 | 0
yaprak | يابراق | 314 | يابراك | 234 | 80
yaren | ياران | 262 | ياران | 262 | 0
yasemin | ياسمين | 180 | ياسامين | 172 | 8
yasin | ياسين | 130 | ياسين | 131 | 1
yasir | ياسر | 281 | ياسير | 281 | 0
yaşar | ياشار | 512 | ياشار | 512 | 0
yavuz | ياووز | 24 | ياوز | 24 | 0
yelda | يالدا | 46 | يالدا | 46 | 0
yıldırım | يلدرم | 284 | يلدرم | 284 | 0
yıldız | يلدز | 51 | يلدز | 51 | 0
yiğit | يغيت | 1420 | يغيت | 1420 | 0
yunus | يونس | 126 | يونوس | 132 | 6
yusuf | يوسف | 156 | يوسوف | 162 | 6
zafer | ظفر | 980 | زافار | 289 | 691
zehra | زهراء | 213 | زاهرا | 214 | 1
zekeriya | زكريا | 248 | زاكاريا | 240 | 8
zeki | ذكي | 730 | زاكي | 38 | 692
zeliha | زليخا | 658 | زاليها | 54 | 604
zeren | زاران | 259 | زاران | 259 | 0
zerrin | زرين | 267 | زارين | 268 | 1
zeyd | زيد | 21 | زايد | 22 | 1
zeynep | زينب | 67 | زايناب | 71 | 4
zihni | ذهني | 765 | زيهني | 82 | 683
ziya | ضياء | 1011 | زيا | 18 | 993
zübeyir | زبير | 219 | زوباير | 226 | 7
zühal | زحل | 45 | زوهال | 49 | 4
zühre | زهرة | 217 | زوهرا | 219 | 2
züleyha | زليخا | 648 | زولايها | 60 | 588
zümra | زمراء | 249 | زومرا | 254 | 5

=== ORNEK ISIMLER (gorev spec listesi) ===
isim | algoAr | algoEbced | sozlukteMi
Berke | باركا | 224 | EVET (norm)
Defne | دافنا | 136 | EVET (norm)
Eylül | ايلول | 77 | EVET (norm)
Kuzey | كوزاي | 44 | EVET (norm)
Beste | باستا | 464 | EVET (norm)
Asaf | اساف | 142 | EVET (norm)
Ali | الي | 41 | EVET (norm)
Ömer | ومار | 247 | EVET (norm)
Yusuf | يوسوف | 162 | EVET (norm)
Mehmet | ماهمات | 487 | EVET (norm)

=== ASCII NORMALIZE TESTLERI ===
input | normalize | sozlukKaynak | sozlukEbced
"Ömer" | "omer" | sozluk("ömer") | 310
"Omer" | "omer" | sozluk("ömer") | 310
"OMER" | "omer" | sozluk("ömer") | 310
"ÖMER" | "omer" | sozluk("ömer") | 310
"  ömer " | "omer" | sozluk("ömer") | 310
"Hüseyin" | "huseyin" | sozluk("hüseyin") | 128
"Huseyin" | "huseyin" | sozluk("hüseyin") | 128
"Çağla" | "cagla" | sozluk("çağla") | 1035
"Cagla" | "cagla" | sozluk("çağla") | 1035
"Mücahit" | "mucahit" | sozluk("mücahit") | 53
"Mucahit" | "mucahit" | sozluk("mücahit") | 53
"Şener" | "sener" | algoritma | 552
"Sener" | "sener" | algoritma | 312
"Berke" | "berke" | sozluk("berke") | 224

=== CAKISMA DETAYLARI (asciiNormalize sonrasi) ===
Toplam cakisma sayisi: 0
